ECO_ID,flow_name,metric,value,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM
725,Apple_irr_2030y_SOC,cf_mean,,Central Anatolian steppe,8.0,"Temperate Grasslands, Savannas & Shrublands",Palearctic
652,Apple_irr_2030y_SOC,cf_mean,,Central Anatolian steppe and woodlands,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
352,Apple_irr_2030y_SOC,cf_mean,51.69043,Central-Southern Cascades Forests,5.0,Temperate Conifer Forests,Nearctic
389,Apple_irr_2030y_SOC,cf_mean,30.146242,Central-Southern US mixed grasslands,8.0,"Temperate Grasslands, Savannas & Shrublands",Nearctic
587,Apple_irr_2030y_SOC,cf_mean,35.324593,Central Andean dry puna,10.0,Montane Grasslands & Shrublands,Neotropic
588,Apple_irr_2030y_SOC,cf_mean,40.421303,Central Andean puna,10.0,Montane Grasslands & Shrublands,Neotropic
589,Apple_irr_2030y_SOC,cf_mean,58.310104,Central Andean wet puna,10.0,Montane Grasslands & Shrublands,Neotropic
817,Apple_irr_2030y_SOC,cf_mean,,Central Asian northern desert,13.0,Deserts & Xeric Shrublands,Palearctic
818,Apple_irr_2030y_SOC,cf_mean,,Central Asian riparian woodlands,13.0,Deserts & Xeric Shrublands,Palearctic
819,Apple_irr_2030y_SOC,cf_mean,,Central Asian southern desert,13.0,Deserts & Xeric Shrublands,Palearctic
350,Apple_irr_2030y_SOC,cf_mean,,Central British Columbia Mountain forests,5.0,Temperate Conifer Forests,Nearctic
38,Apple_irr_2030y_SOC,cf_mean,24.048634,Central bushveld,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
370,Apple_irr_2030y_SOC,cf_mean,,Central Canadian Shield forests,6.0,Boreal Forests/Taiga,Nearctic
653,Apple_irr_2030y_SOC,cf_mean,44.68175,Central China Loess Plateau mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
3,Apple_irr_2030y_SOC,cf_mean,,Central Congolian lowland forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
290,Apple_irr_2030y_SOC,cf_mean,19.542852,Central Deccan Plateau dry deciduous forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan
654,Apple_irr_2030y_SOC,cf_mean,,Central European mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
387,Apple_irr_2030y_SOC,cf_mean,,Central US forest-grasslands transition,8.0,"Temperate Grasslands, Savannas & Shrublands",Nearctic
291,Apple_irr_2030y_SOC,cf_mean,,Central Indochina dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan
655,Apple_irr_2030y_SOC,cf_mean,,Central Korean deciduous forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
427,Apple_irr_2030y_SOC,cf_mean,28.948675,Central Mexican matorral,13.0,Deserts & Xeric Shrublands,Nearctic
351,Apple_irr_2030y_SOC,cf_mean,88.28966,Central Pacific Northwest coastal forests,5.0,Temperate Conifer Forests,Nearctic
820,Apple_irr_2030y_SOC,cf_mean,,Central Persian desert basins,13.0,Deserts & Xeric Shrublands,Palearctic
619,Apple_irr_2030y_SOC,cf_mean,,Central Polynesian tropical moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Oceania
139,Apple_irr_2030y_SOC,cf_mean,,Central Range Papuan montane rain forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Australasia
195,Apple_irr_2030y_SOC,cf_mean,,Papuan Central Range sub-alpine grasslands,10.0,Montane Grasslands & Shrublands,Australasia
208,Apple_irr_2030y_SOC,cf_mean,12.693055,Central Ranges xeric scrub,13.0,Deserts & Xeric Shrublands,Australasia
118,Apple_irr_2030y_SOC,cf_mean,,Central South Antarctic Peninsula tundra,11.0,Tundra,Antarctica
388,Apple_irr_2030y_SOC,cf_mean,,Central Tallgrass prairie,8.0,"Temperate Grasslands, Savannas & Shrublands",Nearctic
750,Apple_irr_2030y_SOC,cf_mean,44.28039,Central Tibetan Plateau alpine steppe,10.0,Montane Grasslands & Shrublands,Palearctic
39,Apple_irr_2030y_SOC,cf_mean,,Central Zambezian wet miombo woodlands,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic
567,Apple_irr_2030y_SOC,cf_mean,25.141344,Cerrado,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic
656,Apple_irr_2030y_SOC,cf_mean,,Changbai Mountains mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
657,Apple_irr_2030y_SOC,cf_mean,35.275055,Changjiang Plain evergreen forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
224,Apple_irr_2030y_SOC,cf_mean,,Chao Phraya freshwater swamp forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
225,Apple_irr_2030y_SOC,cf_mean,,Chao Phraya lowland moist deciduous forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
167,Apple_irr_2030y_SOC,cf_mean,,Chatham Island temperate forests,4.0,Temperate Broadleaf & Mixed Forests,Australasia
771,Apple_irr_2030y_SOC,cf_mean,,Cherskii-Kolyma mountain tundra,11.0,Tundra,Palearctic
292,Apple_irr_2030y_SOC,cf_mean,23.82118,Chhota-Nagpur dry deciduous forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan
528,Apple_irr_2030y_SOC,cf_mean,30.625395,Chiapas Depression dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
452,Apple_irr_2030y_SOC,cf_mean,42.66796,Chiapas montane forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
428,Apple_irr_2030y_SOC,cf_mean,20.984566,Chihuahuan desert,13.0,Deserts & Xeric Shrublands,Nearctic
596,Apple_irr_2030y_SOC,cf_mean,62.398754,Chilean Matorral,12.0,"Mediterranean Forests, Woodlands & Scrub",Neotropic
