ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
651,Celtic broadleaf forests,46.6,85.1,51.3,-38.5,-33.8,N
652,Central Anatolian steppe and woodlands,60.8,43.7,66.9,17.1,23.2,Y
653,Central China Loess Plateau mixed forests,57.0,43.3,62.7,13.7,19.4,Y
654,Central European mixed forests,56.5,47.4,62.2,9.1,14.8,Y
655,Central Korean deciduous forests,58.3,53.6,64.1,4.7,10.5,Y
656,Changbai Mountains mixed forests,53.7,67.4,59.1,-13.7,-8.3,N
657,Changjiang Plain evergreen forests,58.5,46.6,64.4,11.9,17.8,Y
658,Crimean Submediterranean forest complex,56.4,68.2,62.0,-11.8,-6.2,N
659,Daba Mountains evergreen forests,57.4,54.1,63.1,3.3,9.0,Y
660,Dinaric Mountains mixed forests,73.3,84.6,80.6,-11.3,-4.0,N
661,East European forest steppe,62.0,68.5,68.2,-6.5,-0.3,N
662,Eastern Anatolian deciduous forests,57.9,54.4,63.7,3.5,9.3,Y
663,English Lowlands beech forests,51.4,68.6,56.5,-17.2,-12.1,N
664,European Atlantic mixed forests,57.2,55.1,62.9,2.1,7.8,Y
665,Euxine-Colchic broadleaf forests,56.2,61.6,61.8,-5.4,0.2,Y
666,Hokkaido deciduous forests,45.6,84.8,50.2,-39.2,-34.6,N
667,Huang He Plain mixed forests,60.9,30.3,67.0,30.6,36.7,Y
668,Madeira evergreen forests,55.4,87.7,60.9,-32.3,-26.8,N
669,Manchurian mixed forests,52.2,65.7,57.4,-13.5,-8.3,N
670,Nihonkai evergreen forests,45.8,82.0,50.4,-36.2,-31.6,N
671,Nihonkai montane deciduous forests,44.7,94.1,49.2,-49.4,-44.9,N
672,North Atlantic moist mixed forests,41.9,96.4,46.1,-54.5,-50.3,N
673,Northeast China Plain deciduous forests,58.2,44.7,64.0,13.5,19.3,Y
